step,tokens,elapsed_s,unix_ts,loss,grad_norm,lr_mult,tok_s
3200,838860800,20923.1,1786128670.1,3.1668,0.155,1.0000,40681
3220,844103680,21052.0,1786128799.0,3.2713,0.143,1.0000,40676
3240,849346560,21181.1,1786128928.1,3.2067,0.136,1.0000,40616
3260,854589440,21327.7,1786129074.7,3.2670,0.149,1.0000,35752
3280,859832320,21456.7,1786129203.6,3.2271,0.148,1.0000,40668
3300,865075200,21585.5,1786129332.5,3.2285,0.140,1.0000,40698
3320,870318080,21714.7,1786129461.7,3.2272,0.141,1.0000,40556
3340,875560960,21843.7,1786129590.6,3.2568,0.146,1.0000,40673
3360,880803840,21972.6,1786129719.6,3.2375,0.130,1.0000,40651
3380,886046720,22101.5,1786129848.5,3.2261,0.145,1.0000,40680
3400,891289600,22230.5,1786129977.5,3.2602,0.136,1.0000,40637
3420,896532480,22359.5,1786130106.5,3.1394,0.145,1.0000,40644
3440,901775360,22488.6,1786130235.5,3.1446,0.141,1.0000,40630
3460,907018240,22617.5,1786130364.5,3.1474,0.126,1.0000,40651
3480,912261120,22746.5,1786130493.5,3.1966,0.138,1.0000,40661
3500,917504000,22875.4,1786130622.3,3.2165,0.146,1.0000,40681
3520,922746880,23021.1,1786130768.1,3.1729,0.132,1.0000,35972
3540,927989760,23150.1,1786130897.1,3.2134,0.134,1.0000,40649
3560,933232640,23279.3,1786131026.3,3.1404,0.129,1.0000,40572
3580,938475520,23408.2,1786131155.2,3.2001,0.127,1.0000,40667
3600,943718400,23537.1,1786131284.0,3.2328,0.131,1.0000,40692
3620,948961280,23666.0,1786131412.9,3.1753,0.128,1.0000,40678
3640,954204160,23794.8,1786131541.8,3.2162,0.130,1.0000,40682
3660,959447040,23923.7,1786131670.7,3.1383,0.123,1.0000,40684
3680,964689920,24052.6,1786131799.6,3.1520,0.127,1.0000,40658
3700,969932800,24181.6,1786131928.6,3.1279,0.130,1.0000,40653
3720,975175680,24310.6,1786132057.6,3.1308,0.129,1.0000,40655
3740,980418560,24439.5,1786132186.4,3.1917,0.129,1.0000,40681
3760,985661440,24585.3,1786132332.3,3.1092,0.118,1.0000,35943
3780,990904320,24714.2,1786132461.2,3.1352,0.128,1.0000,40669
3800,996147200,24843.2,1786132590.1,3.2440,0.123,1.0000,40668
3820,1001390080,24972.3,1786132719.3,3.1475,0.127,1.0000,40592
3840,1006632960,25101.1,1786132848.1,3.1466,0.122,1.0000,40694
3860,1011875840,25230.0,1786132977.0,3.1463,0.128,1.0000,40676
3880,1017118720,25359.0,1786133106.0,3.1190,0.128,1.0000,40655
3900,1022361600,25487.9,1786133234.9,3.1050,0.122,1.0000,40679
3920,1027604480,25616.8,1786133363.8,3.1585,0.116,1.0000,40667
3940,1032847360,25745.7,1786133492.7,3.1085,0.118,1.0000,40669
3960,1038090240,25874.5,1786133621.5,3.1013,0.124,1.0000,40709
3980,1043333120,26003.3,1786133750.2,3.1650,0.128,1.0000,40720
4000,1048576000,26132.2,1786133879.1,3.2488,0.119,1.0000,40676
4020,1053818880,26279.2,1786134026.2,3.1280,0.118,1.0000,35659
4040,1059061760,26408.0,1786134155.0,3.2186,0.122,1.0000,40693
4060,1064304640,26537.1,1786134284.1,3.1481,0.120,1.0000,40604
4080,1069547520,26666.0,1786134413.0,3.1236,0.126,1.0000,40687
4100,1074790400,26794.8,1786134541.8,3.1539,0.125,1.0000,40716
4120,1080033280,26923.6,1786134670.5,3.1496,0.115,1.0000,40709
4140,1085276160,27052.4,1786134799.4,3.2052,0.116,1.0000,40689
4160,1090519040,27181.2,1786134928.1,3.1228,0.121,1.0000,40721
4180,1095761920,27310.0,1786135057.0,3.0963,0.117,1.0000,40699
4200,1101004800,27438.8,1786135185.8,3.0883,0.115,1.0000,40688
4220,1106247680,27567.7,1786135314.7,3.0958,0.120,1.0000,40689
4240,1111490560,27696.6,1786135443.6,3.1613,0.121,1.0000,40676
4260,1116733440,27843.7,1786135590.7,3.0417,0.113,1.0000,35639
4280,1121976320,27972.7,1786135719.6,3.0786,0.115,1.0000,40658
4300,1127219200,28101.9,1786135848.9,3.1243,0.118,1.0000,40571
4320,1132462080,28230.8,1786135977.8,3.0896,0.121,1.0000,40656
4340,1137704960,28359.8,1786136106.8,3.1944,0.114,1.0000,40645
4360,1142947840,28488.8,1786136235.8,3.0643,0.114,1.0000,40645
4380,1148190720,28617.8,1786136364.8,3.1795,0.126,1.0000,40644
4400,1153433600,28746.8,1786136493.8,3.0873,0.116,1.0000,40633
4420,1158676480,28875.9,1786136622.9,3.0482,0.114,1.0000,40628
4440,1163919360,29004.9,1786136751.9,3.0657,0.115,1.0000,40626
4460,1169162240,29133.9,1786136880.9,3.1086,0.122,1.0000,40658
4480,1174405120,29262.8,1786137009.8,3.1061,0.116,1.0000,40668
4500,1179648000,29391.7,1786137138.7,3.1279,0.118,1.0000,40679
4520,1184890880,29539.3,1786137286.3,3.1154,0.112,1.0000,35511
4540,1190133760,29668.5,1786137415.5,3.1143,0.117,1.0000,40596
4560,1195376640,29797.4,1786137544.4,3.1261,0.113,1.0000,40680
4580,1200619520,29926.3,1786137673.3,3.1186,0.113,1.0000,40670
4600,1205862400,30055.2,1786137802.1,3.1016,0.118,1.0000,40681
4620,1211105280,30184.1,1786137931.0,3.1059,0.109,1.0000,40677
4640,1216348160,30312.9,1786138059.9,3.0741,0.113,1.0000,40691
4660,1221591040,30441.6,1786138188.6,3.0811,0.108,1.0000,40729
4680,1226833920,30570.5,1786138317.5,3.1021,0.115,1.0000,40681
4700,1232076800,30699.4,1786138446.4,3.0984,0.118,1.0000,40668
4720,1237319680,30828.3,1786138575.2,3.1107,0.116,1.0000,40698
4740,1242562560,30957.0,1786138704.0,3.0465,0.114,1.0000,40727
4760,1247805440,31104.6,1786138851.6,3.0759,0.109,1.0000,35505
4780,1253048320,31233.7,1786138980.7,3.1058,0.115,1.0000,40617
4800,1258291200,31362.6,1786139109.5,3.0631,0.109,1.0000,40696
4820,1263534080,31491.4,1786139238.3,3.0496,0.108,1.0000,40707
4840,1268776960,31620.1,1786139367.1,3.1295,0.112,1.0000,40712
4860,1274019840,31749.0,1786139496.0,3.1235,0.117,1.0000,40684
4880,1279262720,31877.8,1786139624.8,3.1005,0.115,1.0000,40692
4900,1284505600,32006.7,1786139753.7,3.0806,0.113,1.0000,40688
4920,1289748480,32135.5,1786139882.5,3.0476,0.110,1.0000,40704
4940,1294991360,32264.4,1786140011.3,3.0135,0.105,1.0000,40687
4960,1300234240,32393.2,1786140140.2,3.0802,0.116,1.0000,40690
4980,1305477120,32522.0,1786140269.0,3.0790,0.109,1.0000,40698
5000,1310720000,32650.9,1786140397.9,3.0436,0.108,1.0000,40684
5020,1315962880,32798.1,1786140545.1,3.0252,0.109,1.0000,35616
5040,1321205760,32927.0,1786140674.0,3.0263,0.112,1.0000,40666
5060,1326448640,33055.8,1786140802.8,3.0976,0.110,1.0000,40723
5080,1331691520,33184.6,1786140931.6,3.0756,0.109,1.0000,40688
5100,1336934400,33313.4,1786141060.4,3.0764,0.107,1.0000,40725
5120,1342177280,33442.2,1786141189.2,3.0521,0.105,1.0000,40702
5140,1347420160,33571.0,1786141318.0,3.0641,0.110,1.0000,40702
5160,1352663040,33699.8,1786141446.8,3.0326,0.109,1.0000,40707
5180,1357905920,33828.6,1786141575.6,3.0703,0.108,1.0000,40694
5200,1363148800,33957.4,1786141704.4,3.0651,0.106,1.0000,40706
5220,1368391680,34086.1,1786141833.1,3.0511,0.106,1.0000,40753
5240,1373634560,34214.9,1786141961.9,3.0532,0.104,1.0000,40693
5260,1378877440,34362.1,1786142109.0,3.0962,0.114,1.0000,35630
5280,1384120320,34491.1,1786142238.1,3.1247,0.109,1.0000,40627
5300,1389363200,34619.9,1786142366.9,3.0292,0.101,1.0000,40706
5320,1394606080,34748.7,1786142495.7,3.0515,0.110,1.0000,40706
5340,1399848960,34877.5,1786142624.4,3.0132,0.108,1.0000,40720
5360,1405091840,35006.3,1786142753.2,2.9917,0.104,1.0000,40710
5380,1410334720,35135.0,1786142882.0,3.1305,0.112,1.0000,40709
5400,1415577600,35263.8,1786143010.8,3.1288,0.104,1.0000,40716
5420,1420820480,35392.6,1786143139.5,3.0468,0.106,1.0000,40721
5440,1426063360,35521.3,1786143268.3,3.0521,0.104,1.0000,40720
5460,1431306240,35650.1,1786143397.0,3.0227,0.106,1.0000,40722
5480,1436549120,35778.9,1786143525.9,3.0242,0.108,1.0000,40700
5500,1441792000,35907.7,1786143654.7,3.0821,0.118,1.0000,40693
5520,1447034880,36054.2,1786143801.2,3.0232,0.107,1.0000,35783
5540,1452277760,36183.0,1786143929.9,3.0410,0.107,1.0000,40728
5560,1457520640,36311.8,1786144058.8,3.1125,0.112,1.0000,40692
5580,1462763520,36440.7,1786144187.7,3.0595,0.105,1.0000,40663
5600,1468006400,36569.6,1786144316.6,2.9908,0.105,1.0000,40683
5620,1473249280,36698.5,1786144445.4,3.0481,0.111,1.0000,40693
5640,1478492160,36827.3,1786144574.3,2.9962,0.105,1.0000,40688
5660,1483735040,36956.1,1786144703.1,2.9938,0.104,1.0000,40709
5680,1488977920,37084.9,1786144831.9,3.0460,0.105,1.0000,40711
5700,1494220800,37213.6,1786144960.5,3.0424,0.110,1.0000,40740
5720,1499463680,37342.3,1786145089.3,3.0410,0.108,1.0000,40731
5740,1504706560,37471.2,1786145218.1,3.0038,0.101,1.0000,40681
