Corpus: 5,402,429,161 tokens (54,024,291 val) | device: cuda | bf16 + FlashAttention
Model: 349.1M params | GQA 18q/6kv | Muon+AdamW
step   5040 | loss 3.1153 | grad_norm 0.113 | lr x1.000
step   5060 | loss 3.0910 | grad_norm 0.110 | lr x1.000
step   5080 | loss 3.0406 | grad_norm 0.109 | lr x1.000
step   5100 | loss 3.0827 | grad_norm 0.112 | lr x1.000
step   5120 | loss 3.1103 | grad_norm 0.109 | lr x1.000
step   5140 | loss 3.0735 | grad_norm 0.109 | lr x1.000
step   5160 | loss 3.1232 | grad_norm 0.116 | lr x1.000
step   5180 | loss 3.1271 | grad_norm 0.114 | lr x1.000
step   5200 | loss 3.0181 | grad_norm 0.105 | lr x1.000
step   5220 | loss 3.0745 | grad_norm 0.108 | lr x1.000
step   5240 | loss 3.1010 | grad_norm 0.105 | lr x1.000
           val loss 3.3929
step   5260 | loss 3.1158 | grad_norm 0.111 | lr x1.000
step   5280 | loss 3.0466 | grad_norm 0.111 | lr x1.000
step   5300 | loss 3.0921 | grad_norm 0.106 | lr x1.000
step   5320 | loss 3.0238 | grad_norm 0.107 | lr x1.000
step   5340 | loss 2.9700 | grad_norm 0.103 | lr x1.000
step   5360 | loss 3.1091 | grad_norm 0.110 | lr x1.000
step   5380 | loss 3.0600 | grad_norm 0.108 | lr x1.000
step   5400 | loss 3.0678 | grad_norm 0.108 | lr x1.000
step   5420 | loss 3.0788 | grad_norm 0.113 | lr x1.000
step   5440 | loss 3.1193 | grad_norm 0.108 | lr x1.000
step   5460 | loss 3.0183 | grad_norm 0.112 | lr x1.000
step   5480 | loss 3.0550 | grad_norm 0.113 | lr x1.000
step   5500 | loss 3.0447 | grad_norm 0.105 | lr x1.000
           val loss 3.3202
step   5520 | loss 3.0529 | grad_norm 0.104 | lr x1.000
step   5540 | loss 3.0347 | grad_norm 0.106 | lr x1.000
step   5560 | loss 3.0741 | grad_norm 0.110 | lr x1.000
step   5580 | loss 3.0367 | grad_norm 0.104 | lr x1.000
step   5600 | loss 3.0708 | grad_norm 0.107 | lr x1.000
step   5620 | loss 3.0513 | grad_norm 0.108 | lr x1.000
step   5640 | loss 3.0359 | grad_norm 0.104 | lr x1.000
step   5660 | loss 2.9776 | grad_norm 0.102 | lr x1.000
step   5680 | loss 2.9801 | grad_norm 0.106 | lr x1.000
step   5700 | loss 3.0151 | grad_norm 0.106 | lr x1.000
step   5720 | loss 3.0918 | grad_norm 0.108 | lr x1.000
step   5740 | loss 3.0505 | grad_norm 0.108 | lr x1.000
           val loss 3.3814
step   5760 | loss 2.9944 | grad_norm 0.110 | lr x1.000
step   5780 | loss 3.0378 | grad_norm 0.102 | lr x1.000
step   5800 | loss 3.0648 | grad_norm 0.103 | lr x1.000
step   5820 | loss 3.0034 | grad_norm 0.106 | lr x1.000
step   5840 | loss 3.0740 | grad_norm 0.105 | lr x1.000
step   5860 | loss 3.0277 | grad_norm 0.106 | lr x1.000
step   5880 | loss 3.0209 | grad_norm 0.104 | lr x1.000
step   5900 | loss 3.0325 | grad_norm 0.105 | lr x1.000
step   5920 | loss 3.0722 | grad_norm 0.102 | lr x1.000
step   5940 | loss 3.0328 | grad_norm 0.103 | lr x1.000
step   5960 | loss 3.0722 | grad_norm 0.100 | lr x1.000
step   5980 | loss 3.0966 | grad_norm 0.101 | lr x1.000
step   6000 | loss 3.0154 | grad_norm 0.102 | lr x1.000
           val loss 3.2984
step   6020 | loss 3.0699 | grad_norm 0.105 | lr x1.000
step   6040 | loss 3.0929 | grad_norm 0.104 | lr x1.000
step   6060 | loss 3.0293 | grad_norm 0.102 | lr x1.000
step   6080 | loss 3.0450 | grad_norm 0.101 | lr x1.000
step   6100 | loss 3.0684 | grad_norm 0.099 | lr x1.000
step   6120 | loss 3.0535 | grad_norm 0.106 | lr x1.000
step   6140 | loss 3.0185 | grad_norm 0.104 | lr x1.000
step   6160 | loss 3.0276 | grad_norm 0.103 | lr x1.000
step   6180 | loss 2.9794 | grad_norm 0.109 | lr x1.000
step   6200 | loss 3.0484 | grad_norm 0.106 | lr x1.000
step   6220 | loss 3.0335 | grad_norm 0.104 | lr x1.000
step   6240 | loss 3.0588 | grad_norm 0.104 | lr x1.000
           val loss 3.3623
step   6260 | loss 3.0698 | grad_norm 0.100 | lr x1.000
step   6280 | loss 3.0803 | grad_norm 0.107 | lr x1.000
step   6300 | loss 3.0624 | grad_norm 0.102 | lr x1.000
step   6320 | loss 3.0325 | grad_norm 0.098 | lr x1.000
step   6340 | loss 3.1006 | grad_norm 0.101 | lr x1.000
step   6360 | loss 3.0345 | grad_norm 0.100 | lr x1.000
step   6380 | loss 3.0165 | grad_norm 0.098 | lr x1.000
step   6400 | loss 3.0295 | grad_norm 0.098 | lr x1.000
step   6420 | loss 2.9722 | grad_norm 0.099 | lr x1.000
step   6440 | loss 2.9872 | grad_norm 0.102 | lr x1.000
step   6460 | loss 3.0270 | grad_norm 0.100 | lr x1.000
step   6480 | loss 3.0371 | grad_norm 0.101 | lr x1.000
step   6500 | loss 2.9903 | grad_norm 0.103 | lr x1.000
           val loss 3.3326
step   6520 | loss 3.0550 | grad_norm 0.099 | lr x1.000
step   6540 | loss 3.0419 | grad_norm 0.097 | lr x1.000
step   6560 | loss 2.9985 | grad_norm 0.097 | lr x1.000
step   6580 | loss 3.0108 | grad_norm 0.100 | lr x1.000
step   6600 | loss 3.0398 | grad_norm 0.101 | lr x1.000
step   6620 | loss 3.0103 | grad_norm 0.102 | lr x1.000
