step,tokens,elapsed_s,loss,grad_norm,lr_mult
5940,778567680,,3.3790,0.127,1.000
5960,781189120,,3.4098,0.122,1.000
5980,783810560,,3.3691,0.126,1.000
6000,786432000,,3.3680,0.123,1.000
6020,789053440,,3.2566,0.122,1.000
6040,791674880,,3.3443,0.122,1.000
6060,794296320,,3.3649,0.125,1.000
6080,796917760,,3.2819,0.122,1.000
6100,799539200,,3.4467,0.121,1.000
6120,802160640,,3.4212,0.120,1.000
6140,804782080,,3.2971,0.120,1.000
6160,807403520,,3.3297,0.120,1.000
6180,810024960,,3.3921,0.123,1.000
6200,812646400,,3.3676,0.122,1.000
6220,815267840,,3.3435,0.125,1.000
6240,817889280,,3.3857,0.122,1.000
6260,820510720,,3.2473,0.118,1.000
6280,823132160,,3.3259,0.116,1.000
6300,825753600,,3.3837,0.127,1.000
6320,828375040,,3.2607,0.121,1.000
6340,830996480,,3.3491,0.122,1.000
6360,833617920,,3.3789,0.121,1.000
6380,836239360,,3.4090,0.120,1.000
6400,838860800,,3.3659,0.122,1.000
6420,841482240,,3.3797,0.119,1.000
6440,844103680,,3.3191,0.119,1.000
6460,846725120,,3.3326,0.117,1.000
6480,849346560,,3.3622,0.123,1.000
6500,851968000,,3.3323,0.122,1.000
6520,854589440,,3.3114,0.118,1.000
6540,857210880,,3.3211,0.119,1.000
6560,859832320,,3.3378,0.118,1.000
6580,862453760,,3.3359,0.117,1.000
6600,865075200,,3.2537,0.120,1.000
6620,867696640,,3.3289,0.122,1.000
6640,870318080,,3.3589,0.124,1.000
6660,872939520,,3.3332,0.123,1.000
6680,875560960,,3.4535,0.121,1.000
6700,878182400,,3.3981,0.120,1.000
6720,880803840,,3.3242,0.118,1.000
6740,883425280,,3.2710,0.118,1.000
6760,886046720,,3.3098,0.124,1.000
6780,888668160,,3.3188,0.121,1.000
6800,891289600,,3.3201,0.119,1.000
6820,893911040,,3.4046,0.121,1.000
6840,896532480,,3.3692,0.119,1.000
6860,899153920,,3.2974,0.122,1.000
6880,901775360,,3.2537,0.120,1.000
6900,904396800,,3.3783,0.118,1.000
6920,907018240,,3.4488,0.122,1.000
6940,909639680,,3.3865,0.119,1.000
6960,912261120,,3.4373,0.125,1.000
6980,914882560,,3.3918,0.122,1.000
7000,917504000,,3.4215,0.123,1.000
7020,920125440,,3.3909,0.119,1.000
7040,922746880,,3.3389,0.121,1.000
7060,925368320,,3.1946,0.119,1.000
7080,927989760,,3.3634,0.123,1.000
7100,930611200,,3.2459,0.118,1.000
7120,933232640,,3.3907,0.122,1.000
7140,935854080,,3.3570,0.122,1.000
7160,938475520,,3.3133,0.118,1.000
7180,941096960,,3.4003,0.120,1.000
7200,943718400,,3.2958,0.115,1.000
7220,946339840,,3.3193,0.120,1.000
7240,948961280,,3.3948,0.118,1.000
7260,951582720,,3.3181,0.119,1.000
7280,954204160,,3.3630,0.119,1.000
7300,956825600,,3.3372,0.122,1.000
7320,959447040,,3.4117,0.122,1.000
7340,962068480,,3.2682,0.117,1.000
7360,964689920,,3.4134,0.115,1.000
7380,967311360,,3.3568,0.117,1.000
7400,969932800,,3.3254,0.116,1.000
7420,972554240,,3.3010,0.117,1.000
7440,975175680,,3.2851,0.118,1.000
7460,977797120,,3.3073,0.119,1.000
7480,980418560,,3.3307,0.116,1.000
7500,983040000,,3.3198,0.116,1.000
7520,985661440,,3.3679,0.117,1.000
7540,988282880,,3.4160,0.118,1.000
7560,990904320,,3.3308,0.116,1.000
7580,993525760,,3.3021,0.119,1.000
7600,996147200,,3.3287,0.116,1.000
7620,998768640,,3.3404,0.119,1.000
7640,1001390080,,3.2890,0.114,1.000
7660,1004011520,,3.3384,0.122,1.000
7680,1006632960,,3.2608,0.118,1.000
7700,1009254400,,3.2812,0.118,1.000
7720,1011875840,,3.3738,0.116,1.000
7740,1014497280,,3.2570,0.115,1.000
7760,1017118720,,3.2674,0.116,1.000
7780,1019740160,,3.2684,0.116,1.000
7800,1022361600,,3.2706,0.115,1.000
7820,1024983040,,3.3642,0.115,1.000
7840,1027604480,,3.3313,0.121,1.000
7860,1030225920,,3.2543,0.119,1.000
7880,1032847360,,3.2482,0.115,1.000
7900,1035468800,,3.3817,0.118,1.000
7920,1038090240,,3.3226,0.119,1.000
7940,1040711680,,3.2933,0.115,1.000
7960,1043333120,,3.3469,0.118,1.000
7980,1045954560,,3.2200,0.115,1.000
8000,1048576000,,3.2819,0.114,1.000
8020,1051197440,,3.3281,0.119,1.000
8040,1053818880,,3.3645,0.116,1.000
8060,1056440320,,3.2648,0.116,1.000
8080,1059061760,,3.3366,0.118,1.000
8100,1061683200,,3.3618,0.119,1.000
8120,1064304640,,3.3285,0.114,1.000
8140,1066926080,,3.3559,0.117,1.000
8160,1069547520,,3.2785,0.117,1.000
8180,1072168960,,3.3557,0.119,1.000
8200,1074790400,,3.3300,0.116,1.000
8220,1077411840,,3.2733,0.119,1.000
8240,1080033280,,3.2421,0.113,1.000
8260,1082654720,,3.3837,0.118,1.000
8280,1085276160,,3.3445,0.116,1.000
8300,1087897600,,3.2954,0.115,1.000
8320,1090519040,,3.2672,0.114,1.000
8340,1093140480,,3.3907,0.117,1.000
8360,1095761920,,3.3331,0.117,1.000
8380,1098383360,,3.3256,0.119,1.000
8400,1101004800,,3.3132,0.113,1.000
8420,1103626240,,3.2535,0.115,1.000
8440,1106247680,,3.3290,0.117,1.000
8460,1108869120,,3.3187,0.123,1.000
8480,1111490560,,3.3358,0.126,1.000
8500,1114112000,,3.2815,0.113,1.000
8520,1116733440,,3.3193,0.116,1.000
8540,1119354880,,3.2657,0.114,1.000
8560,1121976320,,3.2805,0.113,1.000
8580,1124597760,,3.2805,0.118,1.000
8600,1127219200,,3.2651,0.112,1.000
8620,1129840640,,3.3640,0.115,1.000
8640,1132462080,,3.2809,0.114,1.000
8660,1135083520,,3.2783,0.113,1.000
8680,1137704960,,3.3376,0.116,1.000
8700,1140326400,,3.2479,0.112,1.000
8720,1142947840,,3.3045,0.113,1.000
8740,1145569280,,3.3392,0.113,1.000
8760,1148190720,,3.2109,0.113,1.000
8780,1150812160,,3.2675,0.114,1.000
8800,1153433600,,3.3043,0.114,1.000
8820,1156055040,,3.3346,0.116,1.000
8840,1158676480,,3.2782,0.115,1.000
8860,1161297920,,3.2407,0.113,1.000
8880,1163919360,,3.3507,0.116,1.000
8900,1166540800,,3.2372,0.115,1.000
8920,1169162240,,3.3244,0.114,1.000
8940,1171783680,,3.2792,0.111,1.000
8960,1174405120,,3.3586,0.117,1.000
8980,1177026560,,3.2879,0.115,1.000
9000,1179648000,,3.2170,0.112,1.000
9020,1182269440,,3.3382,0.117,1.000
9040,1184890880,,3.2319,0.120,1.000
9060,1187512320,,3.3395,0.113,1.000
9080,1190133760,,3.2780,0.115,1.000
9100,1192755200,,3.2825,0.116,1.000
9120,1195376640,,3.2564,0.114,1.000
9140,1197998080,,3.2790,0.110,1.000
9160,1200619520,,3.1860,0.113,1.000
9180,1203240960,,3.2768,0.117,1.000
9200,1205862400,,3.2512,0.110,1.000
9220,1208483840,,3.3016,0.113,1.000
9240,1211105280,,3.3224,0.117,1.000
9260,1213726720,,3.3022,0.111,1.000
9280,1216348160,,3.1827,0.113,1.000
9300,1218969600,,3.2253,0.113,1.000
9320,1221591040,,3.3097,0.111,1.000
9340,1224212480,,3.2007,0.114,1.000
9360,1226833920,,3.2689,0.112,1.000
9380,1229455360,,3.3925,0.115,1.000
9400,1232076800,,3.2880,0.113,1.000
9420,1234698240,,3.3509,0.113,1.000
9440,1237319680,,3.2994,0.114,1.000
9460,1239941120,,3.2851,0.113,1.000
9480,1242562560,,3.2036,0.115,1.000
9500,1245184000,,3.2593,0.113,1.000
9520,1247805440,,3.1853,0.114,1.000
9540,1250426880,,3.3201,0.114,1.000
9560,1253048320,,3.2962,0.115,1.000
9580,1255669760,,3.2662,0.112,1.000
9600,1258291200,,3.2409,0.112,1.000
9620,1260912640,,3.2617,0.110,1.000
9640,1263534080,,3.2023,0.110,1.000
9660,1266155520,,3.2316,0.114,1.000
9680,1268776960,,3.3519,0.111,1.000
9700,1271398400,,3.2755,0.114,1.000
9720,1274019840,,3.2458,0.109,1.000
9740,1276641280,,3.2972,0.111,1.000
9760,1279262720,,3.2580,0.112,1.000
9780,1281884160,,3.2801,0.115,1.000
9800,1284505600,,3.2183,0.111,1.000
9820,1287127040,,3.2458,0.117,1.000
9840,1289748480,,3.3650,0.113,1.000
9860,1292369920,,3.3045,0.112,1.000
9880,1294991360,,3.3543,0.111,1.000
9900,1297612800,,3.3428,0.112,1.000
9520,1247805440,,3.3313,0.109,1.000
9540,1250426880,,3.2292,0.111,1.000
9560,1253048320,,3.2837,0.112,1.000
9580,1255669760,,3.2843,0.110,1.000
9600,1258291200,,3.2592,0.117,1.000
9620,1260912640,,3.2420,0.113,1.000
9640,1263534080,,3.2734,0.114,1.000
9660,1266155520,,3.3002,0.123,1.000
9680,1268776960,,3.1954,0.108,1.000
9700,1271398400,,3.2308,0.114,1.000
9720,1274019840,,3.3297,0.111,1.000
9740,1276641280,,3.2926,0.111,1.000
9760,1279262720,,3.3383,0.115,1.000
9780,1281884160,,3.2990,0.111,1.000
9800,1284505600,,3.2613,0.111,1.000
9820,1287127040,,3.2650,0.114,1.000
9840,1289748480,,3.2566,0.112,1.000
9860,1292369920,,3.2299,0.112,1.000
9880,1294991360,,3.2077,0.115,1.000
9900,1297612800,,3.2576,0.113,1.000
9920,1300234240,,3.2111,0.112,1.000
9940,1302855680,,3.2323,0.110,1.000
9960,1305477120,,3.2017,0.116,1.000
9980,1308098560,,3.3074,0.115,1.000
10000,1310720000,,3.2712,0.115,1.000
10020,1313341440,,3.2775,0.113,1.000
10040,1315962880,,3.2918,0.111,1.000
10060,1318584320,,3.2137,0.110,1.000
10080,1321205760,,3.2669,0.114,1.000
10100,1323827200,,3.2649,0.113,1.000
10120,1326448640,,3.3012,0.112,1.000
10140,1329070080,,3.2529,0.115,1.000
10160,1331691520,,3.3493,0.110,1.000
10180,1334312960,,3.2139,0.109,1.000
10200,1336934400,,3.1319,0.110,1.000
10220,1339555840,,3.3545,0.113,1.000
10240,1342177280,,3.1876,0.110,1.000
10260,1344798720,,3.2339,0.110,1.000
10280,1347420160,,3.1731,0.108,1.000
10300,1350041600,,3.2255,0.111,1.000
10320,1352663040,,3.2860,0.112,1.000
10340,1355284480,,3.2268,0.114,1.000
10360,1357905920,,3.2185,0.108,1.000
10380,1360527360,,3.3304,0.110,1.000
10400,1363148800,,3.2266,0.112,1.000
10420,1365770240,,3.1816,0.113,1.000
10440,1368391680,,3.2168,0.110,1.000
10460,1371013120,,3.2376,0.116,1.000
10480,1373634560,,3.2543,0.110,1.000
10500,1376256000,,3.3213,0.111,1.000
10520,1378877440,,3.2615,0.110,1.000
10540,1381498880,,3.2838,0.109,1.000
10560,1384120320,,3.2602,0.111,1.000
10580,1386741760,,3.2240,0.109,1.000
10600,1389363200,,3.3616,0.115,1.000
10620,1391984640,,3.2174,0.113,1.000
10640,1394606080,,3.2592,0.111,1.000
10660,1397227520,,3.2569,0.108,1.000
10680,1399848960,,3.3233,0.108,1.000
10700,1402470400,,3.1928,0.110,1.000
10720,1405091840,,3.2302,0.108,1.000
10740,1407713280,,3.3070,0.111,1.000
10760,1410334720,,3.2560,0.108,1.000
10780,1412956160,,3.2234,0.112,1.000
10800,1415577600,,3.2382,0.112,1.000
10820,1418199040,,3.3157,0.112,1.000
10840,1420820480,,3.2421,0.108,1.000
10860,1423441920,,3.2511,0.107,1.000
10880,1426063360,,3.1338,0.107,1.000
10900,1428684800,,3.2376,0.111,1.000
10920,1431306240,,3.3148,0.110,1.000
10940,1433927680,,3.2303,0.109,1.000
10960,1436549120,,3.1855,0.110,1.000
10980,1439170560,,3.2385,0.112,1.000
11000,1441792000,,3.2657,0.109,1.000
11020,1444413440,,3.3289,0.112,1.000
11040,1447034880,,3.2235,0.109,1.000
11060,1449656320,,3.3100,0.110,1.000
11080,1452277760,,3.2256,0.110,1.000
11100,1454899200,,3.1885,0.117,1.000
11120,1457520640,,3.3187,0.110,1.000
11140,1460142080,,3.3006,0.110,1.000
11160,1462763520,,3.1848,0.107,1.000
11180,1465384960,,3.1804,0.105,1.000
11200,1468006400,,3.2524,0.112,1.000
11220,1470627840,,3.3096,0.113,1.000
11240,1473249280,,3.2830,0.108,1.000
11260,1475870720,,3.2233,0.109,1.000
11280,1478492160,,3.2568,0.106,1.000
11300,1481113600,,3.2699,0.109,1.000
11320,1483735040,,3.2394,0.112,1.000
11340,1486356480,,3.2082,0.107,1.000
11360,1488977920,,3.2794,0.109,1.000
11380,1491599360,,3.2387,0.109,1.000
11400,1494220800,,3.2414,0.109,1.000
11420,1496842240,,3.3454,0.110,1.000
11440,1499463680,,3.3484,0.109,1.000
11460,1502085120,,3.1874,0.107,1.000
11480,1504706560,,3.3091,0.110,1.000
11500,1507328000,,3.2193,0.110,1.000
11520,1509949440,,3.1833,0.110,1.000
11540,1512570880,,3.2219,0.109,1.000
11560,1515192320,,3.2569,0.113,1.000
11580,1517813760,,3.2343,0.110,1.000
11600,1520435200,,3.3125,0.111,1.000
11620,1523056640,,3.2717,0.108,1.000
11640,1525678080,,3.2636,0.110,1.000
11660,1528299520,,3.2571,0.105,1.000
11680,1530920960,,3.1497,0.109,1.000
11700,1533542400,,3.2416,0.110,1.000
11720,1536163840,,3.2568,0.107,1.000
11740,1538785280,,3.3199,0.108,1.000
11760,1541406720,,3.1703,0.108,1.000
11780,1544028160,,3.2444,0.108,1.000
11800,1546649600,,3.1809,0.108,1.000
11820,1549271040,,3.3058,0.109,1.000
11840,1551892480,,3.2348,0.107,1.000
11860,1554513920,,3.2654,0.111,1.000
11880,1557135360,,3.1742,0.107,1.000
11900,1559756800,,3.2478,0.109,1.000
11920,1562378240,,3.3468,0.107,1.000
11940,1564999680,,3.2754,0.113,1.000
11960,1567621120,,3.2445,0.107,1.000
11980,1570242560,,3.2082,0.106,1.000
12000,1572864000,,3.1618,0.111,1.000
12020,1575485440,,3.2967,0.114,1.000
12040,1578106880,,3.2364,0.106,1.000
12060,1580728320,,3.1999,0.109,1.000
12080,1583349760,,3.2238,0.107,1.000
12100,1585971200,,3.2415,0.106,1.000
12120,1588592640,,3.1858,0.108,1.000
12140,1591214080,,3.2792,0.108,1.000
12160,1593835520,,3.2124,0.107,1.000
12180,1596456960,,3.2866,0.107,1.000
12200,1599078400,,3.1448,0.106,1.000
12220,1601699840,,3.2740,0.105,1.000
12240,1604321280,,3.1942,0.112,1.000
12260,1606942720,,3.2955,0.105,1.000
12280,1609564160,,3.2436,0.109,1.000
12300,1612185600,,3.2298,0.107,1.000
12320,1614807040,,3.2469,0.109,1.000
12340,1617428480,,3.2085,0.107,1.000
12360,1620049920,,3.1761,0.107,1.000
12380,1622671360,,3.2780,0.108,1.000
12400,1625292800,,3.2521,0.105,1.000
12420,1627914240,,3.1825,0.104,1.000
12440,1630535680,,3.1217,0.107,1.000
12460,1633157120,,3.1566,0.114,1.000
12480,1635778560,,3.2051,0.107,1.000
12500,1638400000,,3.1814,0.108,1.000
12520,1641021440,,3.1853,0.106,1.000
12540,1643642880,,3.1822,0.106,1.000
12560,1646264320,,3.2179,0.107,1.000
12580,1648885760,,3.2682,0.109,1.000
